id_municipio,municipio_nome,ida,endereco,cep,municipio_sede,tel_1,tel_2,fax_1,fax_2,email,unidaderegional,diretor,url
3502705,Apiaí,Inspetoria de Defesa Agropecuária de Apiaí,"Rua 7 de Setembro, 377",18320000,Apiaí,(15) 3552-2358,,(15) 3552-2358,,ida.apiai@cda.sp.gov.br,Escritório de Defesa Agropecuária de Itapeva,Med. Vet. César Augusto Martins Moura,//www.defesa.agricultura.sp.gov.br/enderecos/apiai/
3502754,Araçariguama,Inspetoria de Defesa Agropecuária de Itu,"Avenida Prudente de Moraes, 509",13309050,Itu,(11) 4024-3462,,(11) 4024-5358,,,Escritório de Defesa Agropecuária de Sorocaba,Eng. Agr. Fabricio Sales Massafera Tristão,//www.defesa.agricultura.sp.gov.br/enderecos/aracariguama/
3502804,Araçatuba,Escritório de Defesa Agropecuária de Araçatuba,"Rua Barão do Triunfo, 403",16050230,Araçatuba,(18) 3624-5264,,(18) 3623-9017,,eda.aracatuba@sp.gov.br,Escritório de Defesa Agropecuária de Araçatuba,Eng. Agr. Marco Antonio Basseto,//www.defesa.agricultura.sp.gov.br/enderecos/aracatuba/
3502903,Araçoiaba da Serra,Escritório de Defesa Agropecuária de Sorocaba,"Rua Gustavo Teixeira, 382",18040323,Sorocaba,(15) 3222-1423,,(15) 3217-9889,,eda.sorocaba@sp.gov.br,Escritório de Defesa Agropecuária de Sorocaba,Eng. Agr. Fabricio Sales Massafera Tristão,//www.defesa.agricultura.sp.gov.br/enderecos/aracoiaba-da-serra/
3503000,Aramina,Inspetoria de Defesa Agropecuária de Ituverava,"Rua Joaquim Ribeiro da Rocha, 517",14500000,Ituverava,(16) 3839 4840,,,,ida.ituverava@cda.sp.gov.br,Escritório de Defesa Agropecuária de Orlândia,Med. Vet. Matheus Braga Martins,//www.defesa.agricultura.sp.gov.br/enderecos/aramina/
3503109,Arandu,Escritório de Defesa Agropecuária de Avaré,"Rua Santa Catarina, 1901",18708005,Avaré,(14) 3733-1646,,(14) 3733-1646,,eda.avare@sp.gov.br,Escritório de Defesa Agropecuária de Avaré,Med. Vet. César Augusto Martins Moura,//www.defesa.agricultura.sp.gov.br/enderecos/arandu/
3503158,Arapeí,Inspetoria de Defesa Agropecuária de Bananal,"Rua Pedro José Nader, 133",12850000,Bananal,(12) 3116-1361,,,,eda.guara@sp.gov.br,Escritório de Defesa Agropecuária de Guaratinguetá,Med. Vet. Ana Paula Cunha Belchior,//www.defesa.agricultura.sp.gov.br/enderecos/arapei/
3503208,Araraquara,Escritório de Defesa Agropecuária de Araraquara,"Rua 13 de Maio, 1352",14810088,Araraquara,(16) 3333-1073,3333-1074,(16) 3333-1073,,eda.araraquara@sp.gov.br,Escritório de Defesa Agropecuária de Araraquara,Med. Vet. Artur Luiz de Almeida Felicio,//www.defesa.agricultura.sp.gov.br/enderecos/araraquara/
3503307,Araras,Escritório de Defesa Agropecuária de Limeira,"Rua Fábio Franco de Oliveira, 147",13484514,Limeira,(19) 3441-2514,,(19) 3441-2249,,eda.limeira@sp.gov.br,Escritório de Defesa Agropecuária de Limeira,Eng. Agr. Antonio Carlos Junqueira do Val Filho,//www.defesa.agricultura.sp.gov.br/enderecos/araras/
3503356,Arco-Íris,Escritório de Defesa Agropecuária de Tupã,"Rua Bororós, 901",17600020,Tupã,(14) 3496-7281,,(14) 3496-7586,,eda.tupa@sp.gov.br,Escritório de Defesa Agropecuária de Tupã,Med. Vet. José de Barros Vieira,//www.defesa.agricultura.sp.gov.br/enderecos/arco-iris/
3503406,Arealva,Unidade de Defesa Agropecuária de Arealva,"Avenida da Saudade, 494",17160000,Arealva,(14) 3296-1322,,,,,Escritório de Defesa Agropecuária de Bauru,Med. Vet. Leopoldo Guilherme Fernandes Rodrigues Arruda,//www.defesa.agricultura.sp.gov.br/enderecos/arealva/
3503505,Areias,Inspetoria de Defesa Agropecuária de Bananal,"Rua Pedro José Nader, 133",12850000,Bananal,(12) 3116-1361,,,,eda.guara@sp.gov.br,Escritório de Defesa Agropecuária de Guaratinguetá,Med. Vet. Ana Paula Cunha Belchior,//www.defesa.agricultura.sp.gov.br/enderecos/areias/
3503604,Areiópolis,Inspetoria de Defesa Agropecuária de São Manuel,"Rua Praça Zoilo Simões, 660",18650000,São Manuel,(14) 3841-1493,3841-2202,(14) 3841-1493,,ida.saomanuel@cda.sp.gov.br,Escritório de Defesa Agropecuária de Botucatu,Med. Vet. Francisco Pereira Neto,//www.defesa.agricultura.sp.gov.br/enderecos/areiopolis/
3503703,Ariranha,Escritório de Defesa Agropecuária de Catanduva,"Rua Tanabi, 96",15803060,Catanduva,(17) 35221996,,,,eda.catanduva@sp.gov.br,Escritório de Defesa Agropecuária de Catanduva,Eng. Agr. Alexandre Paloschi,//www.defesa.agricultura.sp.gov.br/enderecos/ariranha/
3503802,Artur Nogueira,Inspetoria de Defesa Agropecuária de Artur Nogueira,"Rua Nossa Senhora das Dores, 326",13160000,Artur Nogueira,(19) 3877-2898,,,,eda.mirim@cda.sp.gov.br,Escritório de Defesa Agropecuária de Mogi Mirim,Eng. Agr. Rogério Marçal Rocha Oliveira,//www.defesa.agricultura.sp.gov.br/enderecos/artur-nogueira/
3503901,Arujá,Inspetoria de Defesa Agropecuária de Santa Isabel,"Rua Leopoldo da Cunha Lima, 157",7500000,Santa Isabel,,,,,eda.mogi@cda.sp.gov.br,Escritório de Defesa Agropecuária de Mogi das Cruzes,Eng. Agr. Clovis Assuncao dos Santos,//www.defesa.agricultura.sp.gov.br/enderecos/aruja/
3503950,Aspásia,Unidade de Defesa Agropecuária de Urânia,Avenida Presidente Kennedy,15760000,Urânia,(17) 3634-3080,,,,,Escritório de Defesa Agropecuária de Jales,Eng. Agr. Jamil Atihe Junior,//www.defesa.agricultura.sp.gov.br/enderecos/aspasia/
3504008,Assis,Escritório de Defesa Agropecuária de Assis,"Rua Via Chico Mendes, 50 esquina com Avenida Getúlio Vargas",19810005,Assis,(18) 3324-1955,3324-2878,,,eda.assis@sp.gov.br,Escritório de Defesa Agropecuária de Assis,Med. Vet. José de Barros Vieira,//www.defesa.agricultura.sp.gov.br/enderecos/assis/
3504107,Atibaia,Inspetoria de Defesa Agropecuária de Atibaia,"Rua José Pires, 514",12940650,Atibaia,(11) 4402-7665,,(11) 4402-7665,,,Escritório de Defesa Agropecuária de Bragança Paulista,Eng. Agr. Rogério Marçal Rocha Oliveira,//www.defesa.agricultura.sp.gov.br/enderecos/atibaia/
3504206,Auriflama,Inspetoria de Defesa Agropecuária de Auriflama,"Rua Bento João de Carvalho, 5422",15350000,Auriflama,(17) 3482-1374,,,,,Escritório de Defesa Agropecuária de General Salgado,Eng. Agr. Marco Antonio Basseto,//www.defesa.agricultura.sp.gov.br/enderecos/auriflama/
3504305,Avaí,Unidade de Defesa Agropecuária de Avaí,"Rua Rio Branco, 706",16680000,Avaí,(14) 3287-1249,,,,,Escritório de Defesa Agropecuária de Bauru,Med. Vet. Leopoldo Guilherme Fernandes Rodrigues Arruda,//www.defesa.agricultura.sp.gov.br/enderecos/avai/
3504404,Avanhandava,Inspetoria de Defesa Agropecuária de Penápolis,"Avenida Luiz Osório, 26",16300000,Penápolis,(18) 3652-1395,,(18) 3652-1395,,,Escritório de Defesa Agropecuária de Araçatuba,Eng. Agr. Marco Antonio Basseto,//www.defesa.agricultura.sp.gov.br/enderecos/avanhandava/
3504503,Avaré,Escritório de Defesa Agropecuária de Avaré,"Rua Santa Catarina, 1901",18708005,Avaré,(14) 3733-1646,,(14) 3733-1646,,eda.avare@sp.gov.br,Escritório de Defesa Agropecuária de Avaré,Med. Vet. César Augusto Martins Moura,//www.defesa.agricultura.sp.gov.br/enderecos/avare/
3504602,Bady Bassitt,Unidade de Defesa Agropecuária de Bady Bassitt,"Rua Visconde de Cairú, 1640",15117000,Bady Bassitt,(17) 3258-1480,,,,,Escritório de Defesa Agropecuária de São José do Rio Preto,Eng. Agr. Alexandre Paloschi,//www.defesa.agricultura.sp.gov.br/enderecos/bady-bassitt/
3504701,Balbinos,Inspetoria de Defesa Agropecuária de Pirajuí,"Rua 7 de Setembro, 720",16600000,Pirajuí,(14) 3572-1190,,(14) 3572-1190,,ida.pirajui@cda.sp.gov.br,Escritório de Defesa Agropecuária de Lins,Med. Vet. Leopoldo Guilherme Fernandes Rodrigues Arruda,//www.defesa.agricultura.sp.gov.br/enderecos/balbinos/
3504800,Bálsamo,Inspetoria de Defesa Agropecuária de Monte Aprazível,"Rua Tiradentes, 1111",15150000,Monte Aprazível,(17) 3275-2755,,,,ida.monte@cda.sp.gov.br,Escritório de Defesa Agropecuária de São José do Rio Preto,Eng. Agr. Alexandre Paloschi,//www.defesa.agricultura.sp.gov.br/enderecos/balsamo/
3504909,Bananal,Inspetoria de Defesa Agropecuária de Bananal,"Rua Pedro José Nader, 133",12850000,Bananal,(12) 3116-1361,,,,eda.guara@sp.gov.br,Escritório de Defesa Agropecuária de Guaratinguetá,Med. Vet. Ana Paula Cunha Belchior,//www.defesa.agricultura.sp.gov.br/enderecos/bananal/
3505005,Barão de Antonina,Unidade de Defesa Agropecuária de Barão de Antonina,"Rua Goiânia, 111",18490000,Barão de Antonina,(15) 3573-1102,,(15) 3573-1102,,eda.avare@cda.sp.gov.br,Escritório de Defesa Agropecuária de Avaré,Med. Vet. César Augusto Martins Moura,//www.defesa.agricultura.sp.gov.br/enderecos/barao-de-antonina/
3505104,Barbosa,Inspetoria de Defesa Agropecuária de Penápolis,"Avenida Luiz Osório, 26",16300000,Penápolis,(18) 3652-1395,,(18) 3652-1395,,,Escritório de Defesa Agropecuária de Araçatuba,Eng. Agr. Marco Antonio Basseto,//www.defesa.agricultura.sp.gov.br/enderecos/barbosa/
3505203,Bariri,Inspetoria de Defesa Agropecuária de Bariri,"Avenida General Osorio, 331",17250000,Bariri,(14) 3662-5435,,,,ida.bariri@cda.sp.gov.br,Escritório de Defesa Agropecuária de Jaú,Med. Vet. Leopoldo Guilherme Fernandes Rodrigues Arruda,//www.defesa.agricultura.sp.gov.br/enderecos/bariri/
3505302,Barra Bonita,Escritório de Defesa Agropecuária de Jaú,"Rua Gov. Armando Salles, 218",17201360,Jaú,(14) 3622-6501,,(14) 3622-6501,,eda.jau@sp.gov.br,Escritório de Defesa Agropecuária de Jaú,Med. Vet. Leopoldo Guilherme Fernandes Rodrigues Arruda,//www.defesa.agricultura.sp.gov.br/enderecos/barra-bonita/
3505351,Barra do Chapéu,Inspetoria de Defesa Agropecuária de Apiaí,"Rua 7 de Setembro, 377",18320000,Apiaí,(15) 3552-2358,,(15) 3552-2358,,ida.apiai@cda.sp.gov.br,Escritório de Defesa Agropecuária de Itapeva,Med. Vet. César Augusto Martins Moura,//www.defesa.agricultura.sp.gov.br/enderecos/barra-do-chapeu/
3505401,Barra do Turvo,Inspetoria de Defesa Agropecuária de Cajati,"Avenida Fernando Costa, s/n",11950000,Cajati,(13) 3854-4590,,(13) 3854-4590,,ida.cajati@cda.sp.gov.br,Escritório de Defesa Agropecuária de Registro,Eng. Agr. Maristela Neves da Conceição,//www.defesa.agricultura.sp.gov.br/enderecos/barra-do-turvo/
3505500,Barretos,Escritório de Defesa Agropecuária de Barretos,"Rua Quatro, 966",14780005,Barretos,(17) 3322-8012,,,,eda.barretos@sp.gov.br,Escritório de Defesa Agropecuária de Barretos,Eng. Agr. Adão Marin,//www.defesa.agricultura.sp.gov.br/enderecos/barretos/
3505609,Barrinha,Escritório de Defesa Agropecuária de Ribeirão Preto,"Avenida Fabio Barreto, 41",14050000,Ribeirão Preto,(16) 3610-8262,,(16) 3610-8262,,eda.ribeirao@sp.gov.br,Escritório de Defesa Agropecuária de Ribeirão Preto,Med. Vet. Paulo Antonio Fadil,//www.defesa.agricultura.sp.gov.br/enderecos/barrinha/
3505708,Barueri,Escritório de Defesa Agropecuária de São Paulo,"Praça Ramos de Azevedo, 254 - 6º andar",01037912,São Paulo,(11) 5067-0175,5067-0230,,,eda.sp@sp.gov.br,Escritório de Defesa Agropecuária de São Paulo,Eng. Agr. Claudio Tetsuo Utida,//www.defesa.agricultura.sp.gov.br/enderecos/barueri/
3505807,Bastos,Inspetoria de Defesa Agropecuária de Bastos,"Rua Adhemar de Barros, 520",17690000,Bastos,(14) 3478-1179,,,,ida.bastos@cda.sp.gov.br,Escritório de Defesa Agropecuária de Tupã,Med. Vet. José de Barros Vieira,//www.defesa.agricultura.sp.gov.br/enderecos/bastos/
3505906,Batatais,Inspetoria de Defesa Agropecuária de Batatais,"Rua Cel. Joaquim Alves, 1740",14300000,Batatais,(16) 3761-3188,,(16) 3761-3188,,ida.batatais@cda.sp.gov.br,Escritório de Defesa Agropecuária de Franca,Med. Vet. Matheus Braga Martins,//www.defesa.agricultura.sp.gov.br/enderecos/batatais/
3506003,Bauru,Escritório de Defesa Agropecuária de Bauru,"Rua Voluntários da Pátria, 8-15",17013026,Bauru,(14) 3227-0955,,(14) 3227-2352,,eda.bauru@sp.gov.br,Escritório de Defesa Agropecuária de Bauru,Med. Vet. Leopoldo Guilherme Fernandes Rodrigues Arruda,//www.defesa.agricultura.sp.gov.br/enderecos/bauru/
3506102,Bebedouro,Inspetoria de Defesa Agropecuária de Bebedouro,"Rua Cel. Joaquim José Lima, 998",14700000,Bebedouro,(17) 3342-1277,,,,,Escritório de Defesa Agropecuária de Barretos,Eng. Agr. Adão Marin,//www.defesa.agricultura.sp.gov.br/enderecos/bebedouro/
3506201,Bento de Abreu,Inspetoria de Defesa Agropecuária de Mirandópolis,"Rua Seimi Sadano, 1173",16800000,Mirandópolis,(18) 3701-2901,,,,ida.mirandopolis@cda.sp.gov.br,Escritório de Defesa Agropecuária de Andradina,Med. Vet. Affonso dos Santos Marcos,//www.defesa.agricultura.sp.gov.br/enderecos/bento-de-abreu/
3506300,Bernardino de Campos,Unidade de Defesa Agropecuária de Bernardino de Campos,"Avenida da Saudade, 125",18960000,Bernardino de Campos,(14) 3346-1518,,,,,Escritório de Defesa Agropecuária de Ourinhos,Med. Vet. José de Barros Vieira,//www.defesa.agricultura.sp.gov.br/enderecos/bernardino-de-campos/
3506359,Bertioga,Inspetoria de Defesa Agropecuária de Santos,"Avenida Bartolomeu de Gusmão, 192",11030500,Santos,(13) 3261-5826,,(13) 3261-5826,,eda.sp@cda.sp.gov.br,Escritório de Defesa Agropecuária de São Paulo,Eng. Agr. Claudio Tetsuo Utida,//www.defesa.agricultura.sp.gov.br/enderecos/bertioga/
3506409,Bilac,Unidade de Defesa Agropecuária de Bilac,"Rua Euclides da Cunha, 606",16210000,Bilac,(18) 3681-1201,,,,,Escritório de Defesa Agropecuária de Araçatuba,Eng. Agr. Marco Antonio Basseto,//www.defesa.agricultura.sp.gov.br/enderecos/bilac/
3506508,Birigui,Inspetoria de Defesa Agropecuária de Birigui,"Rua Roberto Clark, 443",16200000,Birigui,(18) 3642-1391,,(18) 3642-1391,,,Escritório de Defesa Agropecuária de Araçatuba,Eng. Agr. Marco Antonio Basseto,//www.defesa.agricultura.sp.gov.br/enderecos/birigui/
3506607,Biritiba-Mirim,Inspetoria de Defesa Agropecuária de Guararema,"Rua 19 de Setembro, 127",8900000,Guararema,(11) 4693-3098,,,,,Escritório de Defesa Agropecuária de Mogi das Cruzes,Eng. Agr. Clovis Assuncao dos Santos,//www.defesa.agricultura.sp.gov.br/enderecos/biritiba-mirim/
3506706,Boa Esperança do Sul,Unidade de Defesa Agropecuária de Boa Esperança do Sul,"Rua José Procópio de Araújo Ferraz, 48",14930000,Boa Esperança do Sul,(16) 3346-1119,,,,,Escritório de Defesa Agropecuária de Araraquara,Med. Vet. Artur Luiz de Almeida Felicio,//www.defesa.agricultura.sp.gov.br/enderecos/boa-esperanca-do-sul/
3506805,Bocaina,Escritório de Defesa Agropecuária de Jaú,"Rua Gov. Armando Salles, 218",17201360,Jaú,(14) 3622-6501,,(14) 3622-6501,,eda.jau@sp.gov.br,Escritório de Defesa Agropecuária de Jaú,Med. Vet. Leopoldo Guilherme Fernandes Rodrigues Arruda,//www.defesa.agricultura.sp.gov.br/enderecos/bocaina/
3506904,Bofete,Unidade de Defesa Agropecuária de Bofete,"Avenida Ernesto Eburneo, 89",18590000,Bofete,(14) 3883-1510,38831188,(14) 3883-1510,38831188,uda.bofete@cda.sp.gov.br,Escritório de Defesa Agropecuária de Botucatu,Med. Vet. Francisco Pereira Neto,//www.defesa.agricultura.sp.gov.br/enderecos/bofete/
3507001,Boituva,Unidade de Defesa Agropecuária de Boituva,"Rua José Vitiello, 14",18550000,Boituva,(15) 3263-1388,,(15) 3363-6000,,,Escritório de Defesa Agropecuária de Sorocaba,Eng. Agr. Fabricio Sales Massafera Tristão,//www.defesa.agricultura.sp.gov.br/enderecos/boituva/
3507100,Bom Jesus dos Perdões,Escritório de Defesa Agropecuária de Bragança Paulista,"Rua José Adriano Marrey Júnior, 277",12912430,Bragança Paulista,(11) 4033-7386,4034-2743,(11) 4033-7386,,eda.braganca@sp.gov.br,Escritório de Defesa Agropecuária de Bragança Paulista,Eng. Agr. Rogério Marçal Rocha Oliveira,//www.defesa.agricultura.sp.gov.br/enderecos/bom-jesus-dos-perdoes/
3507159,Bom Sucesso de Itararé,Inspetoria de Defesa Agropecuária de Itararé,"Rua Frei Caneca, 1443",18460000,Itararé,(15) 3532-4626,,(15) 3532-4626,,ida.itarare@cda.sp.gov.br,Escritório de Defesa Agropecuária de Itapeva,Med. Vet. César Augusto Martins Moura,//www.defesa.agricultura.sp.gov.br/enderecos/bom-sucesso-de-itarare/
3507209,Borá,Inspetoria de Defesa Agropecuária de Paraguaçu Paulista,"Rua 12 de março, 379",19700000,Paraguaçu Paulista,(18) 3361-1056,3324-2878,(18) 3361-1056,3324-1955,eda.assis@cda.sp.gov.br,Escritório de Defesa Agropecuária de Assis,Med. Vet. José de Barros Vieira,//www.defesa.agricultura.sp.gov.br/enderecos/bora/
